Summary,Requirement ID,Description,,,Requirement Rationale,Notes,
,,"5) ""cFE Core Miscompare Counter""",,,,,
,,"6) ""Application Table Miscompare Counter""",,,,,
,,"7) ""Table of cFE Tables Miscompare Counter""",,,,,
,,"8) ""User-defined Memory Table Miscompare Counter""",,,,,
,,"9) ""Passes through all Checksum Tables""",,,,,
Reset Failure,CS1999,"When the CS Application fails to initialize properly, the CS Application shall:",,,To allow for diagnosis and recovery by ensuring proper system response and operator awareness in the event of critical initialization failures,,
,,1) Issue an event message containing the reason for the failure,,,,,
,,"2) Write to the system log that the application failed to initialize, including the return code",,,,,
,,3) Exit the application,,,,,
General Command Verification,CS2000,When the CS Application receives a command which:,,,"To ensure that all received commands undergo a standardized, comprehensive validation process before execution",,
,,1) Contain a CCSDS application message identifier corresponding to one of the CS Application's subscribed messages,,,,,
,,2) Contains a function code which is one of the CS Application's defined function codes,,,,,
,,3) Contains a packet length consistent with the CS Application's defined packet structure,,,,,
,,4) Passes any argument validations specified by the command requirements,,,,"""Command requirements"" are defined as the CS2XXX requirements",
,,5) Passes any additional validations as specified by the command requirements,,,,"""Command requirements"" are defined as the CS2XXX requirements",
,,the CS Application shall accept and execute the command,,,,,
Command Acceptance,CS2001,"When the CS Application accepts a command, the CS Application shall:",,,To provide positive feedback to operators confirming that valid commands have been successfully received and are being processed.,,
,,"1) Increment the ""Commands Processed Counter""",,,,Except in the case of CS2020,
,,2) Issue an informational or debug event message,,,,,
Command Rejection,CS2002,"If the CS Application receives a command which fails any of the validation specified by CS2000, the CS Application shall:",,,To ensure operators are immediately notified of command processing errors,,
,,"1) Increment the ""Command Error Counter""",,,,,
,,2) Issue an error event message,,,,,
No-Operation Command,CS2010,"When the CS Application receives a ""No-Operation"" command, the CS Application shall issue an event which contains the version information for the CS Application",,,"To allow for simple, low-overhead application health checks by enabling operators to verify the application is running and responsive.",,
Reset Counter Command,CS2020,"When the CS Application receives a ""Reset Counters"" command, the CS Application shall set the counter to the values described in CS1010",,,To provide a mechanism for resetting operational counters to a known state,,
One Shot Command,CS2030,"When the CS Application receives a ""One Shot"" command that passes the validation specified in CS2031, the CS Application shall:",,,"To provide a flexible, on-demand checksum calculation capability for a specific memory segment, allowing targeted verification without pre-configuration",,
,,"1) Set ""Recompute In-Progress State"" to 'FALSE'",,,,,
,,"2) Set ""One Shot In-Progress State"" to 'TRUE' while the one shot operation is in-progress",,,,See CS4010,
,,"3) Set ""Address Used in Last One Shot Command"" to the command-specified ""Start Address""",,,,,
,,"4) Set ""Size Used in Last One Shot Command"" to the command-specified ""Number of Bytes to Checksum""",,,,,
,,"5) Set ""Checksum Calculated in Last One Shot Command"" to the calculated checksum for the range defined by the command-specified ""Number of Bytes to Checksum"" and command-specified ""Start Address""",,,,,
,,"6) Set ""Maximum Bytes per Cycle Used in Last One Shot Command"" to:",,,,,
,,,"a) if the command-specified ""Bytes per Cycle"" is 0: the default maximum bytes per cycle for a checksum operation",,,The default maximum bytes per cycle for a checksum operation is configurable,
,,,"b) if the command-specified ""Bytes per Cycle"" is greater than 0and less than the default maximum bytes per cycle for a checksum operation: the command-specified ""Bytes per Cycle""",,,The default maximum bytes per cycle for a checksum operation is configurable,
,,,"c) if the command-specified ""Bytes per Cycle"" is greater than the maximum bytes per cycle for a checksum operation: the default maximum bytes per cycle for a checksum operation",,,The default maximum bytes per cycle for a checksum operation is configurable,
,,"7) Calculate the checksum starting at the command-specified ""Start Address"" for the command-specified ""Number of Bytes to Checksum"" at the comand-specified ""Bytes per Cycle"" rate",,,,,
,,8) Issue an informational event containing the calculated checksum,,,,,
One Shot Command Validation,CS2031,"When the CS Application receives a ""One Shot"" command, if:",,,To prevent invalid or unsafe checksum operations by validating memory ranges and ensuring that computationally expensive or duplicate operations are not concurrently active.,,
,,1) the memory range is invalid,,,,See CS4000,
,,"2) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"3) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,the CS Application shall reject the command,,,,,
Cancel One Shot Command,CS2040,"When the CS Application receives a ""Cancel One Shot"" command that passes the validation specified in CS2041, the CS Application shall:",,,To allow operators to halt a computationally expensive or unwanted checksum calculation gracefully,,
,,"1) Set ""Recompute In-Progress State"" to 'FALSE'",,,,,
,,"2) Set ""One Shot In-Progress State"" to 'FALSE'",,,,,
,,3) Stop the current One Shot calculation,,,,,
Cancel One Shot Command Validation,CS2041,"When the CS Application receives a ""Cancel One Shot"" command, if:",,,To prevent invalid or unsafe cancel operations,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'FALSE'",,,,,
,,the CS Application shall reject the command,,,,,
Enable All Checksumming Command,CS2050,"When the CS Application receives an ""Enable All Checksumming"" command, the CS Application shall:",,,"To provide a simple, global command to enable all checksumming operations, ensuring comprehensive data integrity monitoring.",,
,,"1) Set ""Global Checksum State"" to 'ENABLED'",,,,,
,,2) Begin calculating checksums for every memory region,,,,,
,,3) Compare the current checksums to the baseline checksums for each memory region,,,,,
Disable All Checksumming Command,CS2060,"When the CS Application receives an ""Disable All Checksumming"" command, the CS Application shall:",,,"To provide a simple, global command to disable all checksumming operations, allowing for controlled stopping of integrity checks",,
,,"1) Set ""Global Checksum State"" to 'DISABLED'",,,,,
,,2) Cease calculation of checksums for the following memory regions:,,,,,
,,,a) Non-volatile Memory Table,,,,
,,,b) User-defined Memory Table,,,,
,,,c) cFE Table of Tables,,,,
,,,d) Application Table,,,,
,,,e) cFE Core,,,,
,,,f) OS,,,,
,,3) Compare the current checksums to the baseline checksums for each memory region,,,,,
Enable Checksumming for cFE Core Command,CS2070,"When the CS Application receives an ""Enable Checksumming for cFE Core"" command, the CS Application shall:",,,"To enable specific checksum monitoring for the critical cFE Core component, allowing for targeted integrity verification",,
,,"1) Set ""cFE Core Checksum State"" to 'ENABLED'",,,,,
,,2) Calculate the checksum for the cFE core segment of memory,,,,,
Disable Checksumming for cFE Core Command,CS2080,"When the CS Application receives a ""Disable Checksumming for cFE Core"" command, the CS Application shall:",,,"To disable specific checksum monitoring for the cFE Core component, allowing for fine-grained control over resource utilization.",,
,,"1) Set ""cFE Core Checksum State"" to 'DISABLED'",,,,,
,,2) Cease the calculation of the checksum for the cFE core segment of memory,,,,,
Report Baseline Checksum of cFE Core Command,CS2090,"When the CS Application receives a ""Report Baseline Checksum of cFE Core"" command that passes the validation specified in CS2091, the CS Application shall issue an event reporting the baseline checksum for the cFE core segment of memory",,,To aid in diagnostic and configuration verification by providing operators with the ability to query and verify the baseline checksum value for the cFE Core segment,,
Report Baseline Checksum of cFE Core Command Validation,CS2091,"When the CS Application receives a ""Report Baseline Checksum of cFE Core"" command, if a checksum has not yet been computed, the CS Application shall reject the command",,,To prevent erroneous reporting by ensuring that a baseline checksum has actually been computed before attempting to report it.,,
Recompute Baseline Checksum of cFE Core Command,CS2100,"When the CS Application receives a ""Recompute Baseline Checksum of cFE Core"" command that passes the validation specified in CS2101, the CS Application shall:",,,"To allow for the regeneration of the baseline checksum for the cFE Core segment, necessary after modifications or if the existing baseline is suspect.",,
,,"1) Set ""Recompute In-Progress State"" to 'TRUE'",,,,See CS4010,
,,2) Calculate the checksum for the cFE core segment of memory,,,,,
,,"3) Set ""cFE Core Baseline Checksum"" value to checksum calculated for the cFE core segment of memory once calulcation has finished",,,,,
Recompute Baseline Checksum of cFE Core Command Validation,CS2101,"When the CS Application receives a ""Recompute Baseline Checksum of cFE Core"" command, if:",,,To prevent data corruption or race conditions by disallowing recomputation of the cFE Core baseline if another intensive checksum operation is already in progress.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,the CS Application shall reject the command,,,,,
Enable Checksumming for OS Command,CS2110,"When the CS Application receives an ""Enable Checksumming for OS"" command, the CS Application shall set ""OS Checksum State"" to 'ENABLED'",,,"To enable specific checksum monitoring for the OS segment, allowing for targeted integrity verification.",,
,,"1) Set ""OS Checksum State"" to 'ENABLED'",,,,,
,,2) Calculate the checksum for the OS segment of memory,,,,,
Disable Checksumming for OS Command,CS2120,"When the CS Application receives a ""Disable Checksumming for OS"" command, the CS Application shall:",,,"To disable specific checksum monitoring for the OS segment, allowing for fine-grained control over resource utilization.",,
,,"1) Set ""OS Checksum State"" to 'DISABLED'",,,,,
,,2) Cease the calculation of the checksum for the OS segment of memory,,,,,
Report Baseline Checksum of OS Command,CS2130,"When the CS Application receives a ""Report Baseline Checksum of OS"" command that passes the validation specified in CS2131, the CS Application shall issue an event reporting the baseline checksum for the OS segment of memory",,,"To provide operators with the ability to query and verify the baseline checksum value for the OS segment, aiding in diagnostics and configuration verification.",,
Report Baseline Checksum of OS Command Validation,CS2131,"When the CS Application receives a ""Report Baseline Checksum of OS"" command, if a checksum has not yet been computed, the CS Application shall reject the command",,,To prevent erroneous reporting by ensuring that a baseline checksum has actually been computed before attempting to report it.,,
Recompute Baseline Checksum of OS Command,CS2140,"When the CS Application receives a ""Recompute Baseline Checksum of OS"" command, the CS Application shall:",,,"To allow for the regeneration of the baseline checksum for the OS segment, necessary after modifications or if the existing baseline is suspect.",,
,,"1) Set ""Recompute In-Progress State"" to 'TRUE'",,,,See CS4010,
,,2) Calculate the checksum for the OS segment of memory,,,,,
,,"3) Set ""OS Baseline Checksum"" value to checksum calculated for the OS segment of memory once calulcation has finished",,,,,
Recompute Baseline Checksum of OS Command Validation,CS2141,"When the CS Application receives a ""Recompute Baseline Checksum of OS"" command, if:",,,To prevent data corruption or race conditions by disallowing recomputation of the OS baseline if another intensive checksum operation is already in progress.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,the CS Application shall reject the command,,,,,
Enable Checksumming for Non-volatile Memory Table Command,CS2150,"When the CS Application receives an ""Enable Checksumming for Non-volatile Memory Table"" command, the CS Application shall set ""Non-volatile Memory Table Checksum State"" to 'ENABLED'",,,"To enable specific checksum monitoring for the Non-volatile Memory Table, allowing for targeted integrity verification.",,
,,"1) Set ""Non-volatile Memory Table Checksum State"" to 'ENABLED'",,,,,
,,2) Calculate the checksum for all entries in the Non-volatile Memory Table,,,,,
Enable Checksumming for Non-volatile Memory Table Command Validation,CS2151,"When the CS Application receives an ""Enable Checksumming for Non-volatile Memory Table"" command, if:",,,To prevent data corruption or race conditions by disallowing the enabling of Non-volatile Memory Table checksumming if another intensive checksum operation is already in progress.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,the CS Application shall reject the command,,,,,
Disable Checksumming for Non-volatile Memory Table Command,CS2160,"When the CS Application receives a ""Disable Checksumming for Non-volatile Memory Table"" command that passes the validation specified in CS2161, the CS Application shall:",,,"To disable specific checksum monitoring for the Non-volatile Memory Table, allowing for fine-grained control over resource utilization.",,
,,"1) Set ""Non-volatile Memory Table Checksum State"" to 'DISABLED'",,,,,
,,2) Cease the calculation of the checksum for all entries in the Non-volatile Memory Table,,,,,
Disable Checksumming for Non-volatile Memory Table Command Validation,CS2161,"When the CS Application receives a ""Disable Checksumming for Non-volatile Memory Table"" command, if:",,,To prevent data corruption or race conditions by disallowing the disabling of Non-volatile Memory Table checksumming if another intensive checksum operation is already in progress.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,the CS Application shall reject the command,,,,,
Report Baseline Checksum of Non-volatile Memory Table Entry Command,CS2170,"When the CS Application receives a ""Report Baseline Checksum of Non-volatile Memory Table Entry"" command that passes the validation specified in CS2171, the CS Application shall issue an event reporting the baseline checksum for the segment of memory identified by the command-specified ""Non-volatile Memory Table Entry ID""",,,"To provide operators with the ability to query and verify the baseline checksum value for specific entries in the Non-volatile Memory Table, aiding in diagnostics.",,
Report Baseline Checksum of Non-volatile Memory Table Entry Command Validation,CS2171,"When the CS Application receives a ""Report Baseline Checksum of Non-volatile Memory Table Entry"" command, if:",,,"To prevent invalid operations by ensuring that specified Non-volatile Memory Table entries are valid, within range, and have a computed baseline checksum before reporting.",,
,,"1) The command-specified ""Non-volatile Memory Table Entry ID"" is greater than the maximum number of entries allowed in the Non-volatile Memory Table",,,,Maximum number of entries allowed in the Non-volatile Memory Table is configurable,
,,"2) The valid Non-volatile Memory Table entry identified by the command-specified ""Non-volatile Memory Table Entry ID"" is 'UNUSED'",,,,,
,,"2) The baseline checksum for the segment of memory covered by the Non-volatile Memory Table entry identified by the command-specified ""Non-volatile Memory Table Entry ID"" has not been calculated",,,,,
,,the CS Application shall reject the command,,,,,
Recompute Baseline Checksum of Non-volatile Memory Table Entry Command,CS2180,"When the CS Application receives a ""Recompute Baseline Checksum of Non-volatile Memory Table Entry"" command that passes the validation specified in CS2181, the CS Application shall:",,,"To allow for the regeneration of the baseline checksum for specific Non-volatile Memory Table entries, necessary after modifications or if the existing baseline is suspect.",,
,,"1) Set ""Recompute In-Progress State"" to 'TRUE'",,,,See CS4010,
,,"2) Calculate the checksum for the segment of memory covered by the Non-volatile Memory Table entry identified by the command-specified ""Non-volatile Memory Table Entry ID""",,,,,
Recompute Baseline Checksum of Non-volatile Memory Table Entry Command Validation,CS2181,"When the CS Application receives a ""Recompute Baseline Checksum of Non-volatile Memory Table Entry"" command, if:",,,To prevent data corruption or race conditions by disallowing the recomputation of Non-volatile Memory Table entry baselines if another intensive checksum operation is already in progress or if the entry is invalid.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,"3) The command-specified ""Non-volatile Memory Table Entry ID"" is greater than the maximum number of entries allowed in the Non-volatile Memory Table",,,,Maximum number of entries allowed in the Non-volatile Memory Table is configurable,
,,"4) The valid entry identified by the command-specified ""Non-volatile Memory Table Entry ID"" is 'UNUSED'",,,,,
,,the CS Application shall reject the command,,,,,
Enable Checksumming for Non-volatile Memory Table Entry Command,CS2190,"When the CS Application receives an ""Enable Checksumming for Non-volatile Memory Table Entry"" command that passes the validation specified in CS2191, the CS Application shall:",,,"To enable specific checksum monitoring for individual entries within the Non-volatile Memory Table, allowing for granular integrity verification.",,
,,"1) Set ""Entry Checksum State"" for the Non-volatile Memory Table entry identified by the command-specified ""Non-volatile Memory Table Entry ID"" to 'ENABLED'",,,,,
,,"2) Calculate the checksum for the segment of memory covered by the Non-volatile Memory Table entry identified by the command-specified ""Non-volatile Memory Table Entry ID""",,,,,
Enable Checksumming for Non-volatile Memory Table Entry Command Validation,CS2191,"When the CS Application receives an ""Enable Checksumming for Non-volatile Memory Table Entry"" command, if:",,,To prevent invalid operations by ensuring that specified Non-volatile Memory Table entries are valid and that no conflicting checksum operations are in progress before enabling checksumming.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,"3) The command-specified ""Non-volatile Memory Table Entry ID"" is greater than the maximum number of entries allowed in the Non-volatile Memory Table",,,,Maximum number of entries allowed in the Non-volatile Memory Table is configurable,
,,"4) The valid Non-volatile Memory Table entry identified by the command-specified ""Non-volatile Memory Table Entry ID"" is 'UNUSED'",,,,,
,,the CS Application shall reject the command,,,,,
Disable Checksumming for Non-volatile Memory Table Entry Command,CS2200,"When the CS Application receives a ""Disable Checksumming for Non-volatile Memory Table Entry"" command that passes the validation specified in CS2201, the CS Application shall:",,,"To disable specific checksum monitoring for individual entries within the Non-volatile Memory Table, allowing for granular control over resource utilization.",,
,,"1) Set ""Entry Checksum State"" for the Non-volatile Memory Table entry identified by the command-specified ""Non-volatile Memory Table Entry ID"" to 'DISABLED'",,,,,
,,"2) Cease the calculation of the checksum for the memory segment covered by the Non-volatile Memory Table entry identified by the command-specified ""Non-volatile Memory Table Entry ID""",,,,,
Disable Checksumming for Non-volatile Memory Table Entry Command Validation,CS2201,"When the CS Application receives a ""Disable Checksumming for Non-volatile Memory Table Entry"" command, if:",,,To prevent invalid operations by ensuring that specified Non-volatile Memory Table entries are valid and that no conflicting checksum operations are in progress before disabling checksumming.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,"3) The command-specified ""Non-volatile Memory Table Entry ID"" is greater than the maximum number of entries allowed in the Non-volatile Memory Table",,,,Maximum number of entries allowed in the Non-volatile Memory Table is configurable,
,,"4) The valid Non-volatile Memory Table entry identified by the command-specified ""Non-volatile Memory Table Entry ID"" is 'UNUSED'",,,,,
,,the CS Application shall reject the command,,,,,
Get Non-volatile Memory Table Entry ID Command,CS2210,"When the CS Application receives a ""Get Non-volatile Memory Table Entry ID"" command that passes the validation specified in CS2211, the CS Application shall issue an event indicating that the address was found and which Entry ID it was found in",,,"To provide operators with the ability to map a specific memory address to its corresponding Non-volatile Memory Table entry ID, aiding in address-based diagnostics.",,
Get Non-volatile Memory Table Entry ID Command Validation,CS2211,"When the CS Application receives a ""Get Non-volatile Memory Table Entry ID"" command, if:",,,To prevent invalid operations by ensuring that specified Non-volatile Memory Table entries are valid and that the provided address falls within a defined memory range before returning an entry ID.,,
,,"1) The command-specified ""Non-volatile Memory Table Entry ID"" is greater than the maximum number of entries allowed in the Non-volatile Memory Table",,,,Maximum number of entries allowed in the Non-volatile Memory Table is configurable,
,,"2) The valid entry identified by the command-specified ""Non-volatile Memory Table Entry ID"" is 'UNUSED'",,,,,
,,"3) The command-specified ""Address"" does not fall within the memory segment range of any entry in the Non-volatile Memory Table",,,,,
,,the CS Application shall reject the command,,,,,
Enable Checksumming for User-defined Memory Table Command,CS2220,"When the CS Application receives an ""Enable Checksumming for User-defined Memory Table"" command that passes the validation specified in CS2221, the CS Application shall:",,,"To enable specific checksum monitoring for the User-defined Memory Table, allowing for targeted integrity verification.",,
,,"1) Set ""User-defined Memory Table Checksum State"" to 'ENABLED'",,,,,
,,2) Calculate the checksum for all entries in the User-defined Memory Table,,,,,
Enable Checksumming for User-defined Memory Table Command Validation,CS2221,"When the CS Application receives an ""Enable Checksumming for User-defined Memory Table"" command, if:",,,To prevent data corruption or race conditions by disallowing the enabling of User-defined Memory Table checksumming if another intensive checksum operation is already in progress.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,the CS Application shall reject the command,,,,,
Disable Checksumming for User-defined Memory Table Command,CS2230,"When the CS Application receives a ""Disable Checksumming for User-defined Memory Table"" command that passes the validation specified in CS2231, the CS Application shall:",,,"To disable specific checksum monitoring for the User-defined Memory Table, allowing for fine-grained control over resource utilization.",,
,,"1) Set ""User-defined Memory Table Checksum State"" to 'DISABLED'",,,,,
,,2) Cease the calculation of the checksum for all entries in the User-defined Memory Table,,,,,
Disable Checksumming for User-defined Memory Table Command Validation,CS2231,"When the CS Application receives a ""Disable Checksumming for User-defined Memory Table"" command, if:",,,To prevent data corruption or race conditions by disallowing the disabling of User-defined Memory Table checksumming if another intensive checksum operation is already in progress.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,the CS Application shall reject the command,,,,,
Report Baseline Checksum of User-defined Memory Table Entry Command,CS2240,"When the CS Application receives a ""Report Baseline Checksum of User-defined Memory Table Entry"" command that passes the validation specified in CS2241, the CS Application shall issue an event reporting the baseline checksum for the segment of User-defined Memory identified by the command-specified ""User-defined Memory Table Entry ID""",,,"To provide operators with the ability to query and verify the baseline checksum value for specific entries in the User-defined Memory Table, aiding in diagnostics.",,
Report Baseline Checksum of User-defined Memory Table Entry Command Validation,CS2241,"When the CS Application receives a ""Report Baseline Checksum of User-defined Memory Table Entry"" command, if:",,,"To prevent invalid operations by ensuring that specified User-defined Memory Table entries are valid, within range, and have a computed baseline checksum before reporting.",,
,,"1) The command-specified ""User-defined Memory Table Entry ID"" is greater than the maximum number of entries allowed in the User-defined Memory Table",,,,Maximum number of entries allowed in the User-defined Memory Table is configurable,
,,"2) The valid User-defined Memory Table entry identified by the command-specified ""Non-volatile User-defined Memory Table Entry ID"" is 'UNUSED'",,,,,
,,"2) The baseline checksum for the segment of memory covered by the User-defined Memory Table entry identified by the command-specified ""User-defined Memory Table Entry ID"" has not been calculated",,,,,
,,the CS Application shall reject the command,,,,,
Recompute Baseline Checksum of User-defined Memory Table Entry Command,CS2250,"When the CS Application receives a ""Recompute Baseline Checksum of User-defined Memory Table Entry"" command that passes the validation specified in CS2251, the CS Application shall: ",,,"To allow for the regeneration of the baseline checksum for specific User-defined Memory Table entries, necessary after modifications or if the existing baseline is suspect.",,
,,"1) Set ""Recompute In-Progress State"" to 'TRUE'",,,,,
,,"2) Calculate the checksum for the segment of memory covered by the User-defined Memory Table entry identified by the command-specified ""User-defined Memory Table Entry ID""",,,,,
Recompute Baseline Checksum of User-defined Memory Table Entry Command Validation,CS2251,"When the CS Application receives a ""Recompute Baseline Checksum of User-defined Memory Table Entry"" command, if:",,,To prevent data corruption or race conditions by disallowing the recomputation of User-defined Memory Table entry baselines if another intensive checksum operation is already in progress or if the entry is invalid.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,"3) The command-specified ""User-defined Memory Table Entry ID"" is greater than the maximum number of entries allowed in the User-defined Memory Table",,,,Maximum number of entries allowed in the User-defined Memory Table is configurable,
,,"4) The valid User-defined Memory Table entry identified by the command-specified ""User-defined Memory Table Entry ID"" is 'UNUSED'",,,,,
,,the CS Application shall reject the command,,,,,
Enable Checksumming for User-defined Memory Table Entry Command,CS2260,"When the CS Application receives an ""Enable Checksumming for User-defined Memory Table Entry"" command that passes the validation specified in CS2261, the CS Application shall:",,,"To enable specific checksum monitoring for individual entries within the User-defined Memory Table, allowing for granular integrity verification.",,
,,"1) Set ""Entry Checksum State"" for the User-defined Memory Table entry identified by the command-specified ""User-defined Memory Table Entry ID"" to 'ENABLED'",,,,,
,,"2) Calculate the checksum for the segment of memory covered by the User-defined Memory Table entry identified by the command-specified ""User-defined Memory Table Entry ID""",,,,,
Enable Checksumming for User-defined Memory Table Entry Command Validation,CS2261,"When the CS Application receives an ""Enable Checksumming for User-defined Memory Table Entry"" command, if:",,,To prevent invalid operations by ensuring that specified User-defined Memory Table entries are valid and that no conflicting checksum operations are in progress before enabling checksumming.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,"3) The command-specified ""User-defined Memory Table Entry ID"" is greater than the maximum number of entries allowed in the User-defined Memory Table",,,,Maximum number of entries allowed in the User-defined Memory Table is configurable,
,,"4) The valid User-defined Memory Table entry identified by the command-specified ""Non-volatile User-defined Memory Table Entry ID"" is 'UNUSED'",,,,,
,,the CS Application shall reject the command,,,,,
Disable Checksumming for User-defined Memory Table Entry Command,CS2270,"When the CS Application receives a ""Disable Checksumming for User-defined Memory Table Entry"" command that passes the validation specified in CS2271, the CS Application shall:",,,"To disable specific checksum monitoring for individual entries within the User-defined Memory Table, allowing for granular control over resource utilization.",,
,,"1) Set ""Entry Checksum State"" for the User-defined Memory Table entry identified by the command-specified ""User-defined Memory Table ID"" to 'DISABLED'",,,,,
,,"2) Cease the calculation of the checksum for the memory segment covered by the User-defined Memory Table entry identified by the command-specified ""User-defined Memory Table Entry ID""",,,,,
Disable Checksumming for User-defined Memory Table Entry Command Validation,CS2271,"When the CS Application receives a ""Disable Checksumming for User-defined Memory Table Entry"" command, if:",,,To prevent invalid operations by ensuring that specified User-defined Memory Table entries are valid and that no conflicting checksum operations are in progress before disabling checksumming.,,
,,"1) ""Recompute In-Progress State"" is 'TRUE'",,,,,
,,"2) ""One Shot In-Progress State"" is 'TRUE'",,,,,
,,"3) The command-specified ""User-defined Memory Table Entry ID"" is greater than the maximum number of entries allowed in the User-defined Memory Table",,,,Maximum number of entries allowed in the User-defined Memory Table is configurable,
,,"4) The valid entry identified by the command-specified ""User-defined Memory Table Entry ID"" is 'UNUSED'",,,,,
,,the CS Application shall reject the command,,,,,
Get User-defined Memory Table Entry ID Command,CS2280,"When the CS Application receives a ""Get User-defined Memory Table Entry ID"" command that passes the validation specified in CS2281, the CS Application shall issue an event indicating that the address was found and which Entry ID it was found in",,,"To provide operators with the ability to map a specific memory address to its corresponding User-defined Memory Table entry ID, aiding in address-based diagnostics.",,
Get User-defined Memory Table Entry ID Command Validation,CS2281,"When the CS Application receives a ""Get User-defined Memory Table Entry ID"" command, if:",,,To prevent invalid operations by ensuring that specified User-defined Memory Table entries are valid and that the provided address falls within a defined memory range before returning an entry ID.,,
,,"1) The command-specified ""User-defined Memory Table Entry ID"" is greater than the maximum number of entries allowed in the User-defined Memory Table",,,,Maximum number of entries allowed in the User-defined Memory Table is configurable,
,,"2) The valid User-defined Memory Table entry identified by the command-specified ""User-defined Memory Table Entry ID"" is 'UNUSED'",,,,,
,,"3) The command-specified ""Address"" does not fall within the memory segment range of any entry in the User-defined Memory Table",,,,,
,,the CS Application shall reject the command,,,,,
